Position,Percentile,Height,Weight,Wingspan,Standing Reach,Hand Length,Hand Width,Standing Vert,Max Vert,Lane Agility,Shuttle,Sprint,Bench
Forward,0.61,79.75,229.8,84.75,106.5,9.0,9.8,29.769999999999982,35.0,11.3,3.0265999999999997,3.25,13.0
Forward,0.62,79.75,230.0,84.75,106.5,9.0,9.8,30.0,35.0,11.287999999999998,3.02,3.25,13.0
Forward,0.63,79.75,230.2,85.0,107.0,9.0,9.8,30.0,35.0,11.267,3.01,3.25,13.0
Forward,0.64,80.0,231.344,85.0,107.0,9.0,9.8,30.0,35.5,11.256,3.0,3.24,13.0
Forward,0.65,80.0,232.0,85.0,107.0,9.0,9.8,30.0,35.5,11.24,3.0,3.24,13.0
Forward,0.66,80.0,232.67200000000003,85.0,107.0,9.0,9.8,30.5,35.5,11.224,3.0,3.23,13.0
Forward,0.67,80.0,233.0,85.25,107.0,9.0,9.8,30.5,35.5,11.21,3.0,3.23,14.0
Forward,0.68,80.25,233.92800000000003,85.25,107.0,9.0,10.0,30.5,35.5,11.2,3.0,3.22,14.0
Forward,0.6900000000000001,80.25,234.0,85.25,107.0,9.0,10.0,30.5,36.0,11.2,3.0,3.22,14.0
Forward,0.7000000000000001,80.25,235.0,85.5,107.5,9.0,10.0,30.5,36.0,11.18,3.0,3.22,14.0
Forward,0.71,80.25,235.71599999999998,85.5,107.5,9.0,10.0,30.5,36.0,11.17,3.0,3.21,14.0
Forward,0.72,80.3,236.112,85.5,107.5,9.0,10.0,31.0,36.0,11.168000000000001,3.0,3.21,14.0
Forward,0.73,80.5,237.10799999999998,85.75,107.5,9.0,10.0,31.0,36.0,11.15,3.0,3.204300000000001,15.0
Forward,0.74,80.5,238.0,85.75,107.5,9.0,10.0,31.0,36.5,11.14,3.0,3.2,15.0
Forward,0.75,80.5,238.55,86.0,107.5,9.25,10.0,31.0,36.5,11.12,2.995,3.2,15.0
Forward,0.76,80.5,239.0,86.0,107.74000000000001,9.25,10.0,31.0,36.5,11.11,2.99,3.2,15.0
Forward,0.77,80.75,239.692,86.0,108.0,9.25,10.0,31.5,36.5,11.1,2.98,3.2,15.0
Forward,0.78,80.75,240.0,86.0,108.0,9.25,10.0,31.5,37.0,11.08,2.97,3.19,15.0
Forward,0.79,80.75,240.8,86.25,108.0,9.25,10.0,31.5,37.0,11.05,2.96,3.19,15.0
Forward,0.8,80.75,241.2,86.25,108.0,9.25,10.0,31.5,37.0,11.03,2.948,3.18,15.0
