Position,Draft,Percentile,Height,Weight,Wingspan,Standing Reach,Hand Length,Hand Width,Standing Vert,Max Vert,Lane Agility,Shuttle,Sprint,Bench
Center,DRAFTED,0.33,81.5425,236.634,86.75,109.08500000000001,9.0,9.8,26.27,30.5,11.85,3.2092,3.44,6.94
Center,DRAFTED,0.34,81.665,236.732,86.75,109.33,9.0,9.8,26.46,30.5,11.85,3.2016,3.44,7.18
Center,DRAFTED,0.35000000000000003,81.7875,236.83,86.75,109.5,9.0,9.8,26.5,30.65,11.841,3.197,3.437,7.450000000000001
Center,DRAFTED,0.36,81.91,236.928,86.75,109.5,9.0,9.8,26.5,30.84,11.8296,3.1932,3.4332000000000003,7.719999999999999
Center,DRAFTED,0.37,82.0,237.078,86.875,109.5,9.0,9.9,26.53,31.03,11.82,3.19,3.43,7.99
Center,DRAFTED,0.38,82.0,237.37199999999999,87.0,109.5,9.0,10.0,26.72,31.22,11.82,3.19,3.43,8.26
Center,DRAFTED,0.39,82.0,237.754,87.0,109.5,9.0,10.0,26.91,31.41,11.82,3.19,3.43,8.530000000000001
Center,DRAFTED,0.4,82.0,238.44,87.0,109.5,9.0,10.0,27.0,31.5,11.816,3.184,3.424,8.8
Center,DRAFTED,0.41000000000000003,82.0,239.072,87.0,109.545,9.0,10.0,27.0,31.5,11.8084,3.1726,3.4126,9.07
Center,DRAFTED,0.42,82.0,239.464,87.0,109.78999999999999,9.0,10.0,27.0,31.5,11.8008,3.1612,3.4012,9.34
Center,DRAFTED,0.43,82.0175,239.842,87.125,110.0,9.0,10.0,27.17,31.67,11.8,3.16,3.4,9.61
Center,DRAFTED,0.44,82.14,240.136,87.25,110.0,9.0,10.0,27.36,31.86,11.8,3.16,3.4,9.879999999999999
Center,DRAFTED,0.45,82.25,240.46,87.25,110.0,9.0,10.0,27.5,32.05,11.799000000000001,3.156,3.389,10.05
Center,DRAFTED,0.46,82.25,241.048,87.25,110.0,9.0,10.0,27.5,32.24,11.7952,3.1408,3.3472,10.14
Center,DRAFTED,0.47000000000000003,82.2515,241.624,87.25,110.0,9.0,10.0,27.5,32.43,11.7914,3.1256,3.3054,10.23
Center,DRAFTED,0.48,82.276,242.016,87.25,110.0,9.0,10.0,27.619999999999997,32.62,11.7828,3.12,3.29,10.32
Center,DRAFTED,0.49,82.3,242.4,87.275,110.0,9.0,10.0,27.810000000000002,32.81,11.7714,3.12,3.29,10.41
Center,DRAFTED,0.5,82.3,242.4,87.3,110.0,9.0,10.0,28.0,33.0,11.76,3.12,3.29,10.5
Center,DRAFTED,0.51,82.3,242.4,87.4,110.0,9.125,10.0,28.0,33.0,11.7524,3.12,3.2862,10.59
Center,DRAFTED,0.52,82.396,242.592,87.5,110.24,9.25,10.0,28.0,33.0,11.7448,3.12,3.2824,10.68
Center,DRAFTED,0.53,82.494,242.788,87.5,110.485,9.25,10.0,28.07,33.0,11.735800000000001,3.1172,3.2786,10.77
Center,DRAFTED,0.54,82.5,242.892,87.5,110.5,9.25,10.0,28.26,33.0,11.724400000000001,3.1096,3.2748,10.86
Center,DRAFTED,0.55,82.5,242.99,87.625,110.5,9.25,10.0,28.450000000000003,33.0,11.713000000000001,3.102,3.271,10.95
Center,DRAFTED,0.56,82.61,243.088,87.75,110.5,9.25,10.0,28.64,33.14,11.693200000000001,3.086,3.2644,11.040000000000001
Center,DRAFTED,0.5700000000000001,82.7325,243.18599999999998,87.75,110.5,9.25,10.0,28.830000000000002,33.33,11.6704,3.0669999999999997,3.2568,11.13
Center,DRAFTED,0.58,82.75,243.368,87.75,110.71,9.25,10.0,29.0,33.5,11.6496,3.0496,3.2492,11.219999999999999
Center,DRAFTED,0.59,82.75,243.564,87.775,110.955,9.25,10.0,29.0,33.5,11.645800000000001,3.0458,3.2416,11.309999999999999
Center,DRAFTED,0.6,82.75,243.92,87.8,111.0,9.25,10.0,29.0,33.5,11.642000000000001,3.042,3.234,11.399999999999999
Center,DRAFTED,0.61,82.75,244.312,87.9,111.0,9.25,10.0,29.09,33.5,11.638200000000001,3.0382,3.2264,11.49
Center,DRAFTED,0.62,82.769,244.704,88.0,111.0,9.25,10.0,29.28,33.5,11.634400000000001,3.0343999999999998,3.2188,11.58
Center,DRAFTED,0.63,82.7935,245.096,88.0,111.0,9.25,10.15,29.47,33.5,11.630600000000001,3.0305999999999997,3.2112,11.67
Center,DRAFTED,0.64,82.8,245.56,88.0,111.18,9.25,10.3,29.5,33.66,11.6172,3.0267999999999997,3.21,11.76
Center,DRAFTED,0.65,82.8,246.04999999999998,88.125,111.425,9.25,10.3,29.5,33.85,11.602,3.023,3.21,11.850000000000001
Center,DRAFTED,0.66,82.868,246.744,88.25,111.5,9.25,10.3,29.54,34.120000000000005,11.5844,3.0184,3.21,11.940000000000001
Center,DRAFTED,0.67,82.966,247.52800000000002,88.375,111.5,9.25,10.3,29.73,34.69,11.5578,3.0108,3.21,12.030000000000001
Center,DRAFTED,0.68,83.08,247.99200000000002,88.5,111.5,9.25,10.3,29.92,35.260000000000005,11.5312,3.0032,3.21,12.120000000000001
Center,DRAFTED,0.6900000000000001,83.2025,248.286,88.5,111.5,9.25,10.3,30.11,35.5,11.5112,3.0,3.2078,12.21
Center,DRAFTED,0.7000000000000001,83.25,248.52,88.5,111.65,9.25,10.3,30.3,35.5,11.496,3.0,3.204,12.3
Center,DRAFTED,0.71,83.25,248.716,88.625,111.895,9.25,10.3,30.49,35.5,11.4808,3.0,3.2002,12.39
Center,DRAFTED,0.72,83.264,249.192,88.75,112.0,9.25,10.3,30.5,35.68,11.472800000000001,3.0,3.2,12.48
Center,DRAFTED,0.73,83.2885,249.878,88.75,112.0,9.375,10.3,30.5,35.87,11.465200000000001,3.0,3.2,12.57
Center,DRAFTED,0.74,83.42999999999999,250.71999999999997,88.75,112.0,9.5,10.3,30.560000000000002,36.0,11.4588,3.0,3.1916,12.66
Center,DRAFTED,0.75,83.675,251.7,88.875,112.0,9.5,10.3,30.75,36.0,11.455,3.0,3.165,12.75
Center,DRAFTED,0.76,83.848,252.344,89.0,112.12,9.5,10.3,30.939999999999998,36.0,11.4512,3.0,3.1384,12.84
Center,DRAFTED,0.77,83.946,252.638,89.125,112.36500000000001,9.5,10.4,31.130000000000003,36.0,11.4422,3.0,3.1273999999999997,12.93
Center,DRAFTED,0.78,84.0,253.15200000000002,89.25,112.5,9.5,10.5,31.32,36.0,11.4308,3.0,3.1236,13.0
Center,DRAFTED,0.79,84.0,253.936,89.25,112.5,9.5,10.5,31.520000000000003,36.010000000000005,11.4186,3.0,3.1194,13.0
Center,DRAFTED,0.8,84.05,254.42000000000002,89.25,112.5,9.5,10.5,31.900000000000002,36.2,11.392,3.0,3.108,13.0
Center,DRAFTED,0.81,84.1725,254.469,89.625,112.5,9.5,10.5,32.28,36.39,11.3654,3.0,3.0966,13.0
Center,DRAFTED,0.8200000000000001,84.25,254.77,90.0,112.59,9.5,10.5,32.58,36.58,11.341999999999999,3.0,3.0835999999999997,13.0
Center,DRAFTED,0.8300000000000001,84.25,255.505,90.0,112.83500000000001,9.5,10.5,32.77,36.77,11.323,3.0,3.0683999999999996,13.0
Center,DRAFTED,0.84,84.25,256.15999999999997,90.0,113.0,9.5,10.5,32.96,36.96,11.304,3.0,3.0532,13.0
Center,DRAFTED,0.85,84.25,256.65,90.125,113.0,9.5,10.5,33.0,37.0,11.3,3.0,3.035,13.0
Center,DRAFTED,0.86,84.285,257.0,90.25,113.14,9.5,10.5,33.0,37.0,11.3,3.0,3.016,13.0
Center,DRAFTED,0.87,84.4075,257.0,90.375,113.63,9.5,10.5,33.120000000000005,37.09,11.2994,3.0,3.0,13.0
Center,DRAFTED,0.88,84.53,257.3,90.5,114.06,9.5,10.5,33.879999999999995,37.66,11.2956,3.0,3.0,13.0
Center,DRAFTED,0.89,84.6525,258.525,90.625,114.305,9.5,10.65,34.64,38.230000000000004,11.2918,3.0,3.0,13.03
Center,DRAFTED,0.9,84.75,259.83,90.75,114.55,9.5,10.8,35.0,38.7,11.282,2.998,3.0,13.299999999999999
Center,DRAFTED,0.91,84.75,261.447,90.775,114.795,9.625,10.8,35.0,39.08,11.2668,2.9942,3.0,13.569999999999999
Center,DRAFTED,0.92,84.77,262.8,90.8,115.0,9.75,10.8,35.0,39.46,11.2516,2.9904,3.0,13.840000000000003
