Draft,Position,Height,Weight,Wingspan,Standing Reach,Hand Length,Hand Width,Standing Vert,Max Vert,Lane Agility,Shuttle,Sprint,Bench
ALL,Guard,73,192.8,75,92.5,8.25,9.5,33,36.5,10.57,NA,3.19,14
ALL,Guard,74.75,177,78.25,97.5,8.75,8.8,32,36.5,11.48,NA,3.2,0
ALL,Guard,73,179.8,79.25,96.5,8.25,7.8,32.5,40.5,10.65,NA,3.19,8
ALL,Forward,78.75,206,81.5,102.5,8.25,9.8,28.5,36.5,11.72,NA,3.38,6
ALL,Guard,74.5,221,79.25,98,8.5,9.5,NA,NA,NA,NA,NA,NA
ALL,Forward,79,260.6,84,104.5,9.5,11.5,NA,NA,NA,NA,NA,NA
ALL,Guard,76.75,203.2,81,101,8,9,30,35.5,10.75,NA,3.24,0
ALL,Forward,83.25,247.4,84,104.5,9,9.8,30,34,11.13,NA,3.4,16
ALL,Forward,82,217,87.75,109.5,9.5,11,31.5,36,11.88,NA,3.35,12
ALL,Guard,76.25,194.6,85,101,9,10.5,34,38.5,10.74,NA,3.09,5
ALL,Guard,77,192.6,82,103.5,9,8.3,29,36,10.96,NA,3.17,5
ALL,Forward,78,222.2,79.5,101.5,9,9,32,39,11.12,NA,3.15,14
ALL,Guard,72.25,174.4,74.25,95.5,8.5,9.5,29.5,38.5,10.07,NA,3.22,11
ALL,Guard,77.25,196.6,78,99,8.25,8.3,28,35,10.94,NA,3.37,2
ALL,Forward,80.5,237.6,87.25,107.5,9,10.8,29.5,34.5,11.85,NA,3.27,10
ALL,Guard,75,187.8,78.25,101,9,10.3,26.5,31,11.45,NA,3.27,3
ALL,Forward,78,224.6,84,108,8.5,10.3,30.5,35,11.35,NA,3.26,16
ALL,Guard,72.75,196,76.5,96.5,8,8.5,28,33,10.42,NA,3.21,14
ALL,Guard,73.25,197.6,76.25,96.5,8.25,9.3,32.5,37,10.33,NA,3.1,4
ALL,Forward,78.75,228.4,81.5,104,9,9.3,25,32,11.47,NA,3.3,7
ALL,Forward,80,228,83.75,106,9,9.3,28.5,33,11.92,NA,3.3,19
ALL,Forward,78.5,222.8,83,103.5,8.75,9,31.5,37.5,10.96,NA,3.17,12
ALL,Forward,78.75,186.8,81,105,8.5,9.5,30,37,11.68,NA,3.07,NA
ALL,Guard,77.75,204.6,82.5,103.5,8.5,10,32.5,36,10.47,NA,3.18,10
ALL,Guard,73.75,191,76,99,8.25,9.3,NA,NA,NA,NA,NA,NA
ALL,Forward,80.25,241.8,86,106.5,8.75,9.5,28.5,33,11.51,NA,3.26,9
ALL,Guard,73.5,216.4,79.5,96.5,8.5,9,29.5,34,11.68,NA,3.18,16
ALL,Forward,81,219.8,86,107.5,9,10,33.5,38,11.21,NA,3.14,15
ALL,Guard,74,186.2,77.5,99,8.5,10.5,27.5,35,10.75,NA,3.27,5
ALL,Forward,81.75,259.2,85.5,109.5,9.5,10.8,26,32.5,11.3,NA,3.26,14
ALL,Guard,73.5,176.8,78.75,98.5,8.25,9.5,29,37.5,10.74,NA,3.07,10
ALL,Guard,76,198.2,81.75,101.5,8.5,9.5,30,35.5,11.2,NA,3.09,17
ALL,Forward,78,227.4,87,106,9.75,11.3,25.5,32,11.45,NA,3.15,3
ALL,Guard,75,205,82.5,103,8.75,9.3,33,40.5,11,NA,3.13,10
ALL,Forward,82,223.2,84,105.5,8.75,9.8,29.5,36.5,10.82,NA,3.36,14
ALL,Forward,77,202.2,83,103.5,8.75,10,27,31,NA,NA,3.33,6
ALL,Guard,76.75,216.2,80,101,9,10,28.5,33,10.81,NA,3.25,15
ALL,Guard,73,209,79.5,96.5,8.25,9.3,32,39,11.23,NA,3.18,17
ALL,Guard,73.75,204,78.25,99.5,8.5,9,27,33,11.55,NA,3.19,NA
ALL,Guard,74.5,191.4,81.5,99.5,9,10,32,34.5,11.12,NA,3.31,NA
ALL,Guard,75.25,190,79.5,102,8.75,10,24.5,32,11,NA,3.2,12
ALL,Forward,79,229.6,82,105.5,8.25,8.5,29,33,NA,NA,3.15,11
ALL,Forward,79.75,240.8,82.75,106.5,8.5,8.3,27,31.5,NA,NA,3.4,11
ALL,Forward,80.75,221.2,81.5,104.5,8.25,10,25.5,31.5,11.05,NA,3.29,4
ALL,Forward,78,207.2,82.25,106.5,8.75,9.5,27,33.5,11.74,NA,3.02,0
ALL,Guard,73.75,194.6,77.25,98,8.5,9,29.5,42,11.13,NA,3.2,5
ALL,Guard,76.25,221.8,81.5,99.5,9,9,36.5,42,11.1,NA,3.18,18
ALL,Forward,79.5,228,82.1,106,8.25,8.8,23,30,11.22,NA,3.21,10
ALL,Forward,79.75,230.2,85,103.5,9.25,10,30.5,37.5,11.33,NA,3.09,15
ALL,Forward,78.5,241.6,85.25,106.5,8.5,8.5,26,30.5,12.43,NA,3.46,10
ALL,Forward,80,252.8,86.5,106.5,9.75,12,29.5,36,12.43,NA,3.36,17
ALL,Guard,73.5,187.6,77.5,99,8.5,9.3,28.5,34,11.05,NA,3.17,9
ALL,Guard,68.75,186,73.75,91.5,8.25,9,31.5,40,10.49,NA,3.14,13
ALL,Forward,79.5,223,84.5,107.5,9.5,10.5,32,36.5,11.31,NA,3.29,3
ALL,Forward,80.5,239,85,107.5,9.25,9.8,27.5,30.5,11.72,NA,3.41,15
ALL,Guard,77.75,205.6,81,103.5,8.75,9.3,26.5,31.5,10.99,NA,3.24,5
ALL,Forward,79.5,227.4,85.25,108.5,8.75,9.3,30,35,10.92,NA,3.26,9
ALL,Forward,81,262.4,89,110.5,9.25,9,28,33.5,11.26,NA,3.29,10
ALL,Forward,82.25,259.8,88.5,112.5,9.25,10.3,23.5,25,12.02,NA,3.27,8
ALL,Guard,71.5,184,75.5,91.5,8,9,32,39.5,10.87,NA,3.16,7
ALL,Forward,79.25,248.4,85.5,108,9,9.8,29,34.5,11.03,NA,3.23,19
ALL,Forward,79.75,247.2,84.25,106.5,9.25,10,25,30.5,12.74,NA,3.45,10
ALL,Center,83.5,237.4,89,113,9.25,9.3,22.5,26,13.2,NA,3.68,10
ALL,Center,81,236,88.75,111.5,9,9.3,23,28,11.48,NA,3.35,10
ALL,Forward,79.25,216,87.25,108.5,9.5,9.5,27,33.5,11.29,NA,3.3,13
ALL,Forward,76.75,207.6,80.5,104,8.5,7.3,30,35.5,11.86,NA,3.19,14
ALL,Forward,79.5,217.8,83.25,104.5,8.5,10,29.5,37.5,10.98,NA,3.4,15
ALL,Guard,72.25,191.6,79.5,98,8.5,9.8,NA,NA,NA,NA,NA,9
ALL,Forward,78.25,235.8,81.75,106,9,9.5,31,36,11.15,NA,3.1,22
ALL,Forward,80.5,229,84,109,9.5,11.3,26,35,11.65,NA,3.39,6
ALL,Guard,74,180.4,79.25,98.5,8.25,9.5,31.5,37.5,11.47,NA,3.14,2
ALL,Forward,80.25,280,84.25,107.5,9,10.3,25,30.5,12.78,NA,3.61,22
ALL,Guard,70.25,217.2,74.5,94,8.5,9.5,27.5,33,12.31,NA,3.24,NA
ALL,Center,81.5,291.8,89.75,113,9.25,10,23.5,27.5,11.4,NA,3.55,NA
ALL,Guard,75,198.4,79,101,8,9,31.5,34.5,11.03,NA,3.37,7
ALL,Forward,81,226.6,84,108,9.25,10,31,36,11.7,NA,3.21,NA
ALL,Forward,79,207.8,84.25,107.5,8.25,9,23.5,32,11.69,NA,3.44,6
ALL,Forward,80.75,245.2,88,110,8.75,9.3,31.5,35.5,11.74,NA,3.25,14
ALL,Forward,80.5,301.8,88.5,109.5,9.25,10.5,23.5,28.5,13.44,NA,3.7,14
ALL,Forward,80.25,231.6,85.75,107.5,8.75,9,24.5,30.5,11.65,NA,3.23,2
ALL,Forward,79.75,214.4,83.25,107,8.5,9,NA,NA,NA,NA,NA,4
ALL,Forward,78,240.2,81.5,106,8.75,9.8,24,28.5,11.83,NA,3.41,23
ALL,Guard,76,185.1,79.25,102,8.5,9,NA,NA,NA,NA,NA,11
ALL,Forward,78.75,211,79.75,103,8.5,9.3,30.5,34.5,11.73,NA,3.22,10
ALL,Forward,76.5,225.8,84.75,102,9.25,9.5,31,36,10.87,NA,3.31,15
ALL,Guard,77.25,210.2,83.25,105,8.75,10,28.5,36.5,11.1,NA,3.18,8
ALL,Forward,77.25,203.6,81.25,104.5,8.25,9,29,34,11.68,NA,3.25,NA
ALL,Forward,78.25,226.6,84.75,107,9.25,8.5,29,33,10.89,NA,3.2,13
ALL,Guard,74,195.2,80,99.5,8.25,9.3,31.5,38.5,11.25,NA,3.19,18
ALL,Forward,78.25,206.4,85,106,9,9.5,32,37,11.43,NA,3.14,16
ALL,Guard,75.25,216,81.25,101,9,10.3,26,32.5,10.88,NA,3.31,19
ALL,Center,83.5,244.2,89.25,113,9,10.3,NA,NA,NA,NA,NA,NA
ALL,Guard,76.75,210,81,100.5,8.75,10.8,28,32,11.59,NA,3.36,8
ALL,Forward,79.5,233.4,84,107.5,8.5,10,27,31.5,11.61,NA,3.24,20
ALL,Forward,81.75,246.6,86.25,108.5,8.75,9.5,25,29,12.1,NA,3.35,15
ALL,Center,80.75,269.2,88.25,110.5,8.5,9.8,24,30.5,12.32,NA,3.39,13
ALL,Center,82.25,268.2,85,109.5,9,10.5,25.5,26.5,12.07,NA,3.33,16
ALL,Forward,80,239.6,85.25,107,9.25,10.3,28.5,33.5,11.14,NA,3.25,17
ALL,Forward,81.5,302.6,90,111,10.25,10.5,NA,NA,NA,NA,NA,NA
ALL,Guard,76.25,191.6,79,100,8,9.8,23.5,30.5,11.27,NA,3.49,8
ALL,Forward,82.5,230.2,85.5,110,9,9.8,25,28.5,11.33,NA,3.37,4
ALL,Forward,78.5,213.2,84,107.5,9,9,NA,37.5,11.65,NA,3.23,6
ALL,Forward,81.25,222.4,89.75,112,9.75,11,25.5,28,12.49,NA,3.27,7
ALL,Guard,76.75,180,75.25,99,7.75,9.5,NA,NA,NA,NA,NA,NA
ALL,Guard,76.5,227,82.5,103,9,10.3,27,33,11.39,NA,3.38,10
ALL,Guard,76,208.8,79.5,103,8.75,9.5,23,32,11.43,NA,3.17,8
ALL,Guard,77.75,213.8,80,103.5,8.75,9.5,27.5,34.5,11.06,NA,3.27,9
ALL,Forward,80.75,237.4,88.5,106.5,9.5,8.8,31,33.5,11.15,NA,3.29,10
ALL,Forward,80.25,210.2,87.5,109.5,9.25,9.5,29.5,32.5,11.61,NA,3.37,3
ALL,Guard,77,210.8,79,101,7.75,9.3,NA,NA,NA,NA,NA,NA
ALL,Guard,74.75,195.6,81.25,101.5,8.25,9.5,30,39,10.84,NA,3.14,NA
ALL,Guard,74.5,208.4,78,99.5,8.5,9.5,23,31.5,11.21,NA,3.5,10
ALL,Guard,75.75,202.6,81,101,9,10.5,31,40,11.38,NA,3.15,10
ALL,Forward,82.5,226.6,91,113,8.25,10.3,27,31.5,11.83,NA,3.54,12
ALL,Forward,77.25,236.2,86,107.5,NA,NA,27.5,31.5,11.34,NA,3.32,16
ALL,Forward,80.75,239.6,85,107,NA,NA,31,35,11.98,NA,3.14,15
ALL,Guard,73.25,182.4,81.75,100,NA,NA,29.5,39,10.49,NA,3.15,3
ALL,Forward,77.25,276.6,86,106.5,NA,NA,26,33,11.5,NA,3.45,18
ALL,Forward,79.5,224.6,86.5,107.5,NA,NA,30.5,35.5,11.26,NA,3.13,20
ALL,Forward,78.25,206.4,79,101,NA,NA,29.5,38.5,11.08,NA,3.24,10
ALL,Forward,78.25,207.2,82,105,NA,NA,NA,NA,NA,NA,NA,NA
ALL,Forward,79.75,211.2,81.25,106.5,NA,NA,25.5,32.5,11.15,NA,3.28,2
ALL,Guard,76.25,210.8,81,102.5,NA,NA,27,33.5,10.83,NA,3.21,3
ALL,Forward,80.5,228.4,86.5,109.5,NA,NA,28.5,33,11.17,NA,3.35,5
ALL,Guard,72.25,166.2,75,96.5,NA,NA,30.5,33.5,10.45,NA,3.1,9
ALL,Forward,79,227.4,83,106.5,NA,NA,28,35,11.18,NA,3.26,18
ALL,Guard,74,181,75.5,97,NA,NA,29.5,35.5,11.07,NA,3.28,10
ALL,Forward,81.75,191.8,86.75,110,NA,NA,25,28,12.11,NA,3.55,0
ALL,Forward,77.5,211.2,81,102.5,NA,NA,29,38.5,11.88,NA,3.31,5
ALL,Guard,73,183.4,78,97.5,NA,NA,28,32.5,10.63,NA,3.03,15
ALL,Guard,76.25,202.4,78.5,100,NA,NA,31.5,38,11.14,NA,3.2,13
ALL,Guard,76,220.6,83.25,104,NA,NA,28.5,34,11.81,NA,3.17,7
ALL,Guard,71.25,195.6,76,95.5,NA,NA,33,40,10.86,NA,3.23,10
ALL,Forward,80.5,214.4,88,109,NA,NA,25.5,30,11.56,NA,3.41,12
ALL,Forward,77.25,208,82,103,NA,NA,29,33,11.3,NA,3.3,15
ALL,Forward,80.5,248.4,83.25,105,NA,NA,32,35.5,10.95,NA,3.28,22
ALL,Forward,80.25,234.2,83.5,106,NA,NA,27.5,34,11.12,NA,3.27,18
ALL,Guard,76,222,82.75,103.5,NA,NA,31.5,37,11.1,NA,3.13,17
ALL,Forward,76,214.6,82.25,102.5,NA,NA,31.5,35,11.17,NA,3.14,8
ALL,Forward,82,246.2,85.25,108,NA,NA,28.5,34,11.67,NA,3.38,15
ALL,Forward,81.25,232.4,85.5,108,NA,NA,31,35,12.23,NA,3.3,11
ALL,Guard,75.25,199,79,100.5,NA,NA,28.5,34,10.64,NA,3.21,6
ALL,Forward,79.75,209.2,82.25,105,NA,NA,26,31,10.66,NA,3.3,3
ALL,Forward,79,257.2,84.75,105.5,NA,NA,30.5,35,11.21,NA,3.23,18
ALL,Guard,71.25,196.6,72.75,94.5,NA,NA,29,36.5,10.98,NA,3.12,14
ALL,Guard,74.25,163.6,74.5,97,NA,NA,28.5,31.5,10.78,NA,3.19,8
ALL,Guard,71.75,185.2,74.5,96,NA,NA,30,36.5,10.44,NA,3.21,13
ALL,Guard,73.5,190.4,79.25,99.5,NA,NA,31.5,36.5,10.61,NA,3.25,10
ALL,Guard,75,211.4,76.5,98,NA,NA,28.5,37,10.96,NA,3.1,14
ALL,Guard,71.25,175.4,74,95,NA,NA,27.5,33,10.87,NA,3.1,8
ALL,Center,83.75,258.2,85.5,111,NA,NA,28.5,32.5,11.1,NA,3.45,10
ALL,Guard,72.5,192.8,75.75,97,NA,NA,26,31,10.99,NA,3.22,11
ALL,Forward,79.25,243,84.75,106.5,NA,NA,29.5,34.5,10.94,NA,3.17,15
ALL,Guard,75.5,207.4,80.75,101,NA,NA,34,37.5,11.54,NA,3.32,16
ALL,Guard,72.25,175.2,79.5,98.5,NA,NA,30.5,36.5,11.05,NA,3.18,13
ALL,Center,85.25,267.2,90.25,113,NA,NA,NA,NA,NA,NA,NA,NA
ALL,Forward,77,213.2,81,103.5,NA,NA,30.5,37,11.15,NA,3.18,9
ALL,Forward,77.25,222.8,82.75,105.5,NA,NA,27.5,33,11.47,NA,3.45,NA
ALL,Forward,79.25,220,83.5,106,NA,NA,32.5,38.5,11.33,NA,2.99,24
ALL,Forward,79.5,216,82.75,107,NA,NA,28.5,30,12.18,NA,3.14,12
ALL,Guard,70,171.5,75.5,94.5,NA,NA,28.5,35,11.27,NA,3.07,2
ALL,Guard,73.75,204,75.5,97,NA,NA,31,38,11.26,NA,3.07,10
ALL,Forward,79,239,84.25,107,NA,NA,30,35,11.06,NA,3.24,19
ALL,Guard,73.25,184,77,98,NA,NA,24.5,29.5,10.68,NA,3.24,9
ALL,Guard,70,166,73.75,94,NA,NA,30,34,11.59,NA,3.25,8
ALL,Forward,79.25,252,82,106,NA,NA,29,31,12.47,NA,3.25,22
ALL,Forward,79.5,190,79.25,104.5,NA,NA,26,27,11.65,NA,3.28,2
ALL,Guard,73.5,201,78.25,97.5,NA,NA,29.5,34.5,11.19,NA,3.19,21
ALL,Forward,81.5,229.6,83.25,108,NA,NA,24,26.5,11.87,NA,3.52,9
ALL,Guard,72.25,182,76.75,97,NA,NA,NA,NA,NA,NA,NA,15
ALL,Forward,80.75,204,81.75,106,NA,NA,NA,NA,NA,NA,NA,7
ALL,Guard,75,213,77.75,99.5,NA,NA,31,36,11.67,NA,3.22,13
ALL,Forward,80.25,256,84.5,109,NA,NA,26,28.5,12.72,NA,3.56,11
ALL,Forward,78.25,265,85.75,107,NA,NA,27.5,33,11.84,NA,3.2,19
ALL,Forward,78.75,208,83.5,105,NA,NA,27.5,33.5,11.59,NA,3.26,10
ALL,Forward,80,230,83.5,104.5,NA,NA,28,32,12.47,NA,3.26,26
ALL,Forward,79.25,210,87.25,106,NA,NA,33.5,37.5,11.86,NA,3.17,11
ALL,Forward,78,224,84.25,97.5,NA,NA,35,42,11.77,NA,3.43,2
ALL,Guard,76.5,220.5,83.25,104.5,NA,NA,27.5,33.5,11.45,NA,3.25,13
ALL,Guard,76,194.5,83.5,103.5,NA,NA,30,33,12.3,NA,3.24,10
ALL,Guard,76,208,83.25,103,NA,NA,NA,NA,NA,NA,NA,10
ALL,Forward,79,220,88,107.5,NA,NA,30.5,35,11.37,NA,3.14,5
ALL,Center,83.25,258,86.5,111.5,NA,NA,21.5,27,12.4,NA,3.33,15
ALL,Guard,74,222,81,99,NA,NA,32,40,10.81,NA,3.01,15
ALL,Center,78.75,290,82.25,106,NA,NA,24.5,27.5,12.16,NA,3.32,18
ALL,Forward,80.25,221,82,108,NA,NA,27.5,31.5,11.21,NA,3.2,2
ALL,Guard,76.25,204,81,103.5,NA,NA,30.5,38,11.33,NA,3.08,13
ALL,Forward,81.5,235,87,109.5,NA,NA,29.5,32,11.49,NA,3.33,20
ALL,Forward,78.75,250,87,108,NA,NA,26.5,28,10.62,NA,3.27,13
ALL,Guard,73.25,181,81,97.5,NA,NA,34,37.5,12.2,NA,3.07,9
ALL,Forward,75.75,234,85.25,104.5,NA,NA,28.5,33,12.17,NA,3.4,16
ALL,Forward,81.5,226,82.75,109,NA,NA,20.5,26,12.26,NA,3.54,2
ALL,Guard,71.75,196,80.75,98.5,NA,NA,30.5,36,11.15,NA,3.16,12
ALL,Forward,78.5,220,87,109.5,NA,NA,28,34.5,11.51,NA,3.18,7
ALL,Forward,79,240.5,83.25,106.5,NA,NA,27,31,11.75,NA,3.26,11
ALL,Forward,79.75,217,89,111,NA,NA,NA,NA,NA,NA,NA,6
ALL,Forward,77.25,213,81.5,105,NA,NA,27,32,12.02,NA,3.36,2
ALL,Forward,79,240,84.25,107,NA,NA,25.5,31,11.61,NA,3.33,16
ALL,Center,81.75,250,90,113.5,NA,NA,26,30.5,12.3,NA,3.27,8
ALL,Forward,81,247,88,110,NA,NA,29,32,12.06,NA,3.2,13
ALL,Guard,75,221,80.5,103.5,NA,NA,26,30,11.79,NA,3.39,9
ALL,Forward,79.25,222,80,102.5,NA,NA,29.5,34.5,11.57,NA,3.36,14
ALL,Center,81,212.5,85.25,109.5,NA,NA,NA,NA,NA,NA,NA,14
ALL,Center,83.25,258,89.5,113,NA,NA,27.5,30.5,12.77,NA,3.57,7
ALL,Forward,79.75,255,83.25,106,NA,NA,29.5,35,11.17,NA,3.22,18
ALL,Center,81.75,273,85,109.5,NA,NA,23,28,11.76,NA,3.35,15
ALL,Guard,75.25,200,78,99.5,NA,NA,30.5,41,11.04,NA,3.14,7
ALL,Forward,78.75,227,85.75,105,NA,NA,29.5,35,11.23,NA,3.19,13
ALL,Forward,77.75,221,86.5,103.5,NA,NA,32,38.5,11.71,NA,3.17,11
ALL,Forward,83,241,90,114.5,NA,NA,27,32.5,12.75,NA,3.25,7
ALL,Guard,71.75,175.5,74.5,95,NA,NA,25.5,32,11.19,NA,3.2,10
ALL,Guard,73,198,82,98.5,NA,NA,34.5,38.5,10.54,NA,3.13,19
ALL,Forward,82.25,239.5,85,109.5,NA,NA,24,28,12.45,NA,3.45,17
ALL,Guard,72.5,208,77,96,NA,NA,32,37,10.65,NA,3.07,7
ALL,Forward,81.25,240,82.5,105.5,NA,NA,30.5,35.5,11.32,NA,3.17,14
ALL,Forward,78.75,225.5,82.5,103.5,NA,NA,32,36,11.79,NA,3.14,16
ALL,Forward,80.25,242.2,85,107.5,NA,NA,27,32.5,11.3,NA,3.4,10
ALL,Forward,81,197,87,109,NA,NA,29,35,11.86,NA,3.26,7
ALL,Forward,79.25,244,83.25,107.5,NA,NA,26.5,33.5,11.51,NA,3.13,14
ALL,Center,82.5,237,92.75,NA,NA,NA,NA,NA,NA,NA,NA,NA
ALL,Guard,72.25,173,73.25,95,NA,NA,31.5,36.5,10.65,NA,3.05,10
ALL,Guard,72.5,196,80,100.5,NA,NA,25,31.5,11.3,NA,3.15,8
ALL,Forward,76.25,203,81.75,104,NA,NA,NA,NA,NA,NA,NA,NA
ALL,Guard,73.5,196,80,98.5,NA,NA,34.5,40,11.69,NA,3.05,10
ALL,Guard,71,183.8,76.5,95,NA,NA,26,NA,NA,NA,NA,18
ALL,Guard,72.25,183.5,76.25,97.5,NA,NA,25,29.5,11.08,NA,3.26,5
ALL,Guard,74.75,210,81,99.5,NA,NA,34.5,41,11.08,NA,3.19,16
ALL,Guard,72.75,166.2,79.25,98,NA,NA,31,39,10.98,NA,3.08,2
ALL,Forward,74.75,217,83,103.5,NA,NA,27,33.5,12.52,NA,3.14,5
ALL,Guard,75.5,199,80,101,NA,NA,26,29.5,11.97,NA,3.4,10
ALL,Forward,77.25,198.5,81,102.5,NA,NA,34,40,11.03,NA,3.09,7
ALL,Forward,76,193,82,104,NA,NA,29,36.5,10.58,NA,2.96,12
ALL,Guard,74.25,192,79.75,100,NA,NA,30,36.5,10.98,NA,3.08,12
ALL,Guard,75.25,199,81.25,103,NA,NA,31.5,36.5,11.32,NA,3.07,15
ALL,Forward,80,210,81,103,NA,NA,30.5,35,11.78,NA,3.37,15
ALL,Forward,77,240,86,107,NA,NA,24,26.5,12.18,NA,3.45,12
ALL,Forward,80,240,85.5,106.5,NA,NA,26,28,11.88,NA,3.54,12
ALL,Forward,78,185,80.25,103,NA,NA,30.5,36.5,11.69,NA,3.22,11
ALL,Guard,70,161,76,94,NA,NA,32.5,39.5,10.57,NA,3.2,6
ALL,Guard,71,170,76,95.5,NA,NA,32.5,41,11.27,NA,3.25,3
ALL,Guard,75,221,80.5,97.5,NA,NA,33,38.5,11.61,NA,3.29,25
ALL,Forward,80,236,86,107,NA,NA,30,35,11.47,NA,NA,21
ALL,Guard,71,175,77.75,94.5,NA,NA,35.5,40.5,11.63,NA,3.09,13
ALL,Guard,75,203,80.25,101.5,NA,NA,30,34.5,11.12,NA,3.22,4
ALL,Forward,79,250,85.25,107.5,NA,NA,25,30.5,12.52,NA,3.37,19
ALL,Guard,75,194,77.5,98,NA,NA,32.5,38,11.6,NA,3.32,11
ALL,Forward,81,230,88,109.5,NA,NA,27,30,12.63,NA,3.53,7
ALL,Forward,80,205,80.75,105,NA,NA,NA,NA,NA,NA,NA,19
ALL,Guard,73,191,82,100,NA,NA,30,33.5,11.13,NA,3.29,3
ALL,Forward,77,219,79,102,NA,NA,28,32,11.32,NA,3.45,14
ALL,Forward,81,215,88.75,110,NA,NA,26,33.5,12.33,NA,3.45,0
ALL,Forward,78,244,83.5,104,NA,NA,28,32,11.43,NA,3.41,20
ALL,Center,84,271,87.25,108.5,NA,NA,27,32.5,12.07,NA,3.7,17
ALL,Forward,78,238,83.75,103,NA,NA,28.5,36,11.72,NA,3.46,9
ALL,Forward,79,228,85.25,103,NA,NA,33.5,38,12,NA,3.34,17
ALL,Guard,71,173,74.25,96,NA,NA,29,32.5,11.3,NA,3.26,8
ALL,Forward,82,244,84.5,110,NA,NA,26,29,11.88,NA,3.51,9
ALL,Guard,74,181,79,94,NA,NA,32,36,11.39,NA,3.28,11
ALL,Center,79,232,86.25,108.5,NA,NA,30.5,34,12.31,NA,3.39,15
ALL,Forward,80,246,84.75,107,NA,NA,31,35.5,12.15,NA,3.37,20
ALL,Forward,77,215,83.25,105,NA,NA,28.5,34,12.47,NA,3.32,12
ALL,Center,81,209,87,111,NA,NA,31,33,13.31,NA,3.37,8
ALL,Guard,74,198,80.25,101.5,NA,NA,30.5,33,12.11,NA,3.29,10
ALL,Forward,80,208,90,104,NA,NA,34.5,39,11,NA,3.28,10
ALL,Guard,70,175,74,93,NA,NA,33.5,38.5,10.94,NA,3.11,14
ALL,Guard,75,216,77,98,NA,NA,26.5,35,11.78,NA,3.31,18
ALL,Forward,78,235,84,105.5,NA,NA,25,30,12.18,NA,3.29,20
ALL,Guard,72,183,72,94,NA,NA,24.5,28.5,11.02,NA,3.39,6
ALL,Guard,75,204,83,99.5,NA,NA,32,34.5,11.57,NA,3.41,9
ALL,Forward,81,237,82.5,106.5,NA,NA,25.5,30,11.19,NA,3.42,19
ALL,Forward,79,248,83,102.5,NA,NA,31.5,36.5,11.35,NA,3.29,21
ALL,Forward,77,213,86,107,NA,NA,29.5,36,11.73,NA,3.22,17
ALL,Guard,74,186,78.5,98,NA,NA,29,34,11,NA,3.22,8
ALL,Center,81,267,85,108.5,NA,NA,24,30.5,11.96,NA,3.43,19
ALL,Guard,74,194,78.5,99,NA,NA,33,38,11.59,NA,3.22,16
ALL,Forward,76,218,82,103.5,NA,NA,27,29.5,12.1,NA,3.43,11
ALL,Forward,79,220,82.5,104,NA,NA,28.5,34.5,10.95,NA,3.25,12
ALL,Forward,80,240,85,106.5,NA,NA,27.5,31.5,11.7,NA,3.47,12
ALL,Guard,77,218,83,105,NA,NA,27,31.5,11.87,NA,3.49,7
ALL,Guard,77,201,80,102.5,NA,NA,29.5,31.5,11.77,NA,3.29,3
ALL,Forward,78,211,84.25,105,NA,NA,28.5,32.5,10.39,NA,3.38,16
ALL,Forward,82,223,85.25,106.5,NA,NA,32.5,37.5,11.79,NA,3.47,12
ALL,Center,83,257,88.25,112,NA,NA,32,34,11.67,NA,3.27,NA
ALL,Forward,81,226,83.75,106,NA,NA,23,28,11.61,NA,3.6,7
ALL,Guard,72,188,75.25,95,NA,NA,27.5,34.5,11.69,NA,3.24,15
ALL,Forward,79,252,88.5,110.5,NA,NA,26.5,30.5,11.39,NA,3.29,15
ALL,Guard,75,208,80,100.5,NA,NA,34,38,11.07,NA,3.12,11
ALL,Guard,77,214,81,102.5,NA,NA,26.5,33.5,11.63,NA,3.36,11
ALL,Guard,76,185,80.75,101,NA,NA,24,32.5,11.33,NA,3.39,1
ALL,Guard,74,185,76.25,97.5,NA,NA,29.5,33.5,11.65,NA,3.27,8
ALL,Guard,75,185,77.5,99,NA,NA,28.5,35,11.82,NA,3.27,11
ALL,Forward,82.75,233,82.75,106,NA,NA,33.5,37.5,10.96,NA,3.29,15
ALL,Guard,75.75,199,78.5,101,NA,NA,28.5,35,10.87,NA,3.14,21
ALL,Guard,75.75,207,79.25,100.5,NA,NA,30.5,35,11.34,NA,3.11,14
ALL,Forward,78,227,81.5,104,NA,NA,27.5,32.5,11.3,NA,3.22,12
ALL,Forward,79.75,212,81,105,NA,NA,29,34,10.68,NA,3.45,9
ALL,Guard,71.5,168,74.5,93.5,NA,NA,28.5,33,11.51,NA,3.22,7
ALL,Forward,78.75,222,82,103.5,NA,NA,31,37.5,11.76,NA,3.26,18
ALL,Forward,77.75,221,85,104,NA,NA,35,41,11.96,NA,3.16,9
ALL,Forward,79,242,86.5,107.5,NA,NA,28.5,30,11.49,NA,3.29,21
ALL,Forward,80.75,249,88,108.5,NA,NA,25,29,12.16,NA,3.52,11
ALL,Center,82,242,83,108,NA,NA,26,29,12.6,NA,3.39,18
ALL,Center,80.75,241,87,110,NA,NA,26.5,31,11.65,NA,3.56,14
ALL,Center,80.5,242,88,109,NA,NA,27.5,30.5,12.14,NA,3.47,15
ALL,Guard,70.75,167,72.75,92,NA,NA,31.5,34.5,11.4,NA,3.23,13
ALL,Forward,80.75,200,87.75,108.5,NA,NA,30.5,35.5,11.76,NA,3.31,2
