Draft,Position,Height,Weight,Wingspan,Standing Reach,Hand Length,Hand Width,Standing Vert,Max Vert,Lane Agility,Shuttle,Sprint,Bench
FIRST ROUND,Guard,73.3,195.6,79,99.5,8.75,9.5,27,35,10.68,NA,3.43,NA
FIRST ROUND,Guard,77.3,194.6,79.8,100,8.5,9.5,29.5,35.5,10.88,2.98,3.17,NA
LOTTERY,Forward,78.5,221.6,83.8,106,9,9,29,33,11.26,NA,3.29,NA
ALL,Guard,74.5,163.2,78.8,98,8.5,8,30,37,10.86,NA,3.21,NA
FIRST ROUND,Forward,78,208.8,81.3,105,8.25,8.3,27.5,34.5,10.94,3.46,3.31,NA
FIRST ROUND,Guard,77.8,214.2,84,103.5,8.5,8.5,NA,NA,NA,NA,NA,NA
FIRST ROUND,Guard,77.8,218.2,84,104,8.75,9.3,NA,NA,NA,NA,NA,NA
ALL,Center,80.8,243.2,85.8,108.5,9,10,26,30.5,10.93,NA,3.34,NA
ALL,Center,79.3,253.6,87.5,108,9.75,10.3,29.5,32.5,12.26,NA,3.32,NA
ALL,Forward,80.8,234.8,83,108,9,10.5,23.5,30.5,11.17,NA,3.5,NA
LOTTERY,Center,83.3,223.4,86.5,111,9,10.3,26,30.5,11.71,3.16,3.43,NA
FIRST ROUND,Forward,78.5,248.6,86.5,104.5,9,10,34.5,38,10.89,NA,3.2,NA
FIRST ROUND,Guard,74.5,195.2,80.5,101,8.5,9.3,28,36,10.82,NA,3.34,NA
LOTTERY,Forward,77.8,204,85.8,107,8.75,8.5,33,36,10.83,NA,3.3,NA
FIRST ROUND,Guard,77.8,217.2,82.3,103.5,8.5,10,NA,NA,NA,NA,NA,NA
FIRST ROUND,Forward,77.8,235,80.5,103.5,8,8.3,31.5,40.5,10.82,3.33,3.2,NA
LOTTERY,Forward,77.5,230.2,80,99.5,8.25,9,31.5,35,11.26,3.15,3.2,NA
LOTTERY,Guard,74.5,178.4,78.8,97.5,8.25,9.5,32.5,37,10.93,NA,3.22,NA
FIRST ROUND,Guard,76.5,216.8,82.25,104,8.75,9.5,32,39,10.77,3.11,3.13,NA
FIRST ROUND,Forward,81.25,230.8,85.75,110.5,8.75,9.5,23.5,26.5,12.25,3.3,3.45,NA
ALL,Forward,80.75,221,87,108.5,9,10.5,28.5,34,11.29,3.19,3.33,NA
FIRST ROUND,Guard,77.25,196.6,84.75,106,9,9,NA,NA,NA,NA,NA,NA
LOTTERY,Guard,76.5,180.4,77.5,102,7.5,8.5,24.5,31.5,11.36,3.25,3.4,NA
FIRST ROUND,Guard,76,194.8,82,102.5,8.5,9.8,29,35,11.38,3.09,3.17,NA
FIRST ROUND,Guard,77.5,209.2,78.5,99.5,8,8.5,33.5,40,11,3.13,3.16,NA
LOTTERY,Forward,78.25,201.2,83,103,9,9,31.5,41,11.57,3.05,3.29,NA
ALL,Forward,83.75,174.4,86.25,112,8.5,8.8,26.5,28.5,11.16,3.04,3.33,NA
ALL,Forward,78.25,212.4,82,107,8.75,9.3,28.5,34.5,11.39,3.04,3.14,NA
LOTTERY,Guard,71.5,172.2,77.25,97,8.5,9.5,31,41.5,10.73,2.89,NA,NA
LOTTERY,Guard,76.25,189.2,80.75,102.5,8,8.5,32,37.5,10.82,3.02,3.07,NA
ALL,Center,83,293,88.25,110.5,9.75,10.3,29.5,32.5,12.11,3.31,3.33,NA
FIRST ROUND,Guard,78,195.2,82.5,105,8.5,9.8,29,34,10.81,2.81,3.22,NA
FIRST ROUND,Guard,76.25,196.4,80.5,103.5,8.5,10.3,NA,NA,NA,NA,NA,NA
LOTTERY,Guard,72.5,191.8,78.5,99.5,8.5,9.5,30,37,11.38,3.23,3.26,NA
ALL,Center,81.25,216.6,86.5,109.5,8.5,10.5,29,36.5,11.16,2.9,3.26,NA
FIRST ROUND,Forward,78.75,217.4,86,107.5,9.25,11,NA,NA,NA,NA,NA,NA
ALL,Guard,75.5,167.4,80.5,102,8,9.3,28,35.5,10.87,3.02,3.18,NA
ALL,Center,79.75,236.6,84.25,109.5,8.75,10,28,32.5,11.49,3.1,3.22,NA
ALL,Guard,73.5,195.8,76,98,8.25,9,26.5,33,10.95,3.01,3.21,NA
ALL,Forward,76,240.4,85.25,105.5,9.5,10,26,30.5,11.41,3.24,3.4,NA
ALL,Forward,81.5,222.6,84.25,108.5,8.75,9.8,NA,NA,NA,NA,NA,NA
ALL,Guard,77.25,208.6,83,102.5,8.5,9.5,27.5,32.5,11.03,3.17,3.29,NA
LOTTERY,Guard,75.25,223.8,79.25,101,8.25,9,24.5,31,11.33,3.32,3.27,NA
FIRST ROUND,Center,84.25,256,88.25,113,8.5,8.5,NA,NA,NA,NA,NA,NA
LOTTERY,Center,82.75,221,89.25,113,9,10.8,28,33.5,11.3,3.19,3.27,NA
FIRST ROUND,Forward,78.75,227.2,81.5,104,8.5,10.3,27.5,34,10.58,2.89,3.37,NA
ALL,Forward,78.25,235.4,86.5,105.5,9,10.5,32.5,35,11.49,3.02,3.23,NA
LOTTERY,Forward,77.5,243,83.75,103.5,8.25,9.3,35.5,38,11.11,3.23,3.26,NA
FIRST ROUND,Guard,76.5,204.6,81,104,8.5,9.8,NA,NA,NA,NA,NA,NA
ALL,Forward,80,216.4,82.5,105,9,10.3,25.5,31.5,10.74,NA,3.39,NA
LOTTERY,Guard,77.25,181.2,80.75,103.5,8.75,9.5,29.5,34,11.12,3.16,3.27,NA
ALL,Forward,75.5,212.8,83,104,8.75,9.5,29.5,36,11.54,3.04,3.33,NA
ALL,Guard,74.25,183.2,80,101,8.5,9.5,31,38,11.23,3.1,3.19,NA
ALL,Guard,73,171.8,77.25,98.5,8,8.8,29.5,37,11.19,3.17,3.17,NA
ALL,Guard,76.25,217.2,84.5,101,8.75,10.3,32.5,38.5,10.94,3.21,3.3,NA
LOTTERY,Guard,75,195.6,77.75,99,8,9.5,26.5,35,10.46,3.02,3.26,NA
ALL,Guard,72,180,77.75,95.5,7.75,9,30.5,37.5,11.07,3.1,3.21,NA
LOTTERY,Forward,77.75,192.8,80,106,8,9.3,29.5,35,11.02,3.14,3.07,NA
ALL,Center,81.75,244.4,88,111,8.75,10,23,27.5,11.4,3.23,3.55,NA
FIRST ROUND,Forward,76.5,260.8,83.5,105,8.75,10,27,35.5,10.75,3.1,3.22,NA
LOTTERY,Guard,74,179.2,81.75,100.5,8,8.5,30.5,36.5,11.26,3.28,3.07,NA
ALL,Guard,76.75,182.4,80.75,103.5,8.5,9.5,30.5,38,11.03,3.04,3.12,NA
FIRST ROUND,Guard,76.25,198,83.5,103.5,9,9.3,NA,NA,NA,NA,NA,NA
LOTTERY,Guard,76,196.2,80,102,8.25,10,25.5,31.5,11.42,3.16,3.4,NA
FIRST ROUND,Guard,78,195.2,84.75,106,8.5,9,NA,NA,NA,NA,NA,NA
LOTTERY,Forward,78.75,213.8,82.75,105,8.75,9.8,29.5,32.5,11.53,3.12,3.24,NA
FIRST ROUND,Guard,74.25,196.4,80,99.5,8.5,9.3,NA,NA,NA,NA,NA,NA
FIRST ROUND,Forward,78.75,203.4,84.5,107.5,8.5,9.5,28,33.5,11.03,3.24,3.28,NA
FIRST ROUND,Guard,75,187.2,81.25,103,8.25,9,30,36,11.55,3.25,3.21,NA
ALL,Guard,75.75,209,79,102,8.5,9.3,30,35.5,10.96,3.11,3.15,NA
FIRST ROUND,Guard,76.5,209.2,86.25,105.5,8.5,9.5,33.5,39,11.13,3.17,3.11,NA
LOTTERY,Center,80.75,236.6,85,108.5,8.5,10.5,24.5,30,11.64,3.1,3.5,NA
FIRST ROUND,Center,84,242.4,90.5,117,9,9.8,NA,NA,NA,NA,NA,NA
ALL,Center,79.25,264.6,86.75,108.5,9,10.3,27.5,30,12.75,3.46,3.48,NA
ALL,Guard,70.5,161.8,73.75,94,8,7.8,28.5,32.5,10.9,3.49,3.12,NA
ALL,Forward,78,216.8,83,102.5,8.75,8.5,32.5,38.5,12.26,3.1,3.17,NA
FIRST ROUND,Forward,79,225.4,86.75,108,9.25,10.3,36,39.5,10.88,2.99,3.15,NA
LOTTERY,Center,81.25,230.2,87,107.5,9,9.5,33,36,12.19,3.33,3.13,NA
LOTTERY,Forward,77.75,188,82.75,104,9,9.8,NA,NA,NA,NA,NA,NA
FIRST ROUND,Guard,75.5,190,80.25,101.5,8.75,9,NA,NA,NA,NA,NA,NA
LOTTERY,Forward,79.25,206.4,84.25,107,9,9.8,33.5,39,10.98,2.98,3.19,NA
LOTTERY,Guard,74.25,193,76,98.5,8.5,8.3,NA,NA,NA,NA,NA,NA
ALL,Forward,77.75,206.4,81.5,104,8.75,8.5,27,35,11.94,3.14,3.34,NA
FIRST ROUND,Guard,75.25,214.8,81.25,101,8.75,8.5,29.5,37.5,11.32,3.3,3.14,NA
LOTTERY,Guard,75.5,194.4,82.25,102,8.5,8.8,27,33.5,11.51,3.27,3.23,NA
ALL,Guard,76.25,203.6,80.75,102.5,8.5,9,30,39,11.21,3.19,3.08,NA
LOTTERY,Forward,79,203,83.25,106,8.5,8.3,28,37,11.3,3.38,3.25,NA
LOTTERY,Center,82,242.8,85.5,107.5,9,9.3,24,29.5,11.9,3.38,3.51,NA
LOTTERY,Forward,78.5,268.6,82.75,105,9.25,9,26.5,31.5,11.69,3.3,3.25,NA
FIRST ROUND,Guard,76,205,80,101,8.5,10,30.5,38.5,11.09,3.33,3.07,NA
