Position,Draft,Percentile,Height,Weight,Wingspan,Standing Reach,Hand Length,Hand Width,Standing Vert,Max Vert,Lane Agility,Shuttle,Sprint,Bench
Center,LOTTERY,0.5,82.3,240.4,86.75,110,9,10,28,33,11.68,3.14,3.285,11.5
Center,LOTTERY,0.51,82.3,240.736,86.75,110,9,10,28,33,11.665,3.13,3.2825,11.55
Center,LOTTERY,0.52,82.3,241.072,86.75,110,9,10,28,33,11.65,3.12,3.28,11.6
Center,LOTTERY,0.53,82.3,241.408,86.75,110,9,10,28.25,33.125,11.6475,3.115,3.2775,11.65
Center,LOTTERY,0.54,82.324,241.744,86.78,110,9,10,28.5,33.25,11.645,3.11,3.275,11.7
Center,LOTTERY,0.55,82.38,242.08,86.85,110,9,10,28.75,33.375,11.6425,3.105,3.2725,11.75
Center,LOTTERY,0.56,82.436,242.416,86.92,110,9,10,29,33.5,11.64,3.1,3.27,11.8
Center,LOTTERY,0.57,82.492,242.752,86.99,110,9,10,29,33.5,11.6375,3.0875,3.265,11.85
Center,LOTTERY,0.58,82.5,242.896,87.06,110.12,9.06,10,29,33.5,11.635,3.075,3.26,11.9
Center,LOTTERY,0.59,82.5,243.008,87.13,110.26,9.13,10,29,33.5,11.6325,3.0625,3.255,11.95
Center,LOTTERY,0.6,82.5,243.12,87.2,110.4,9.2,10,29,33.5,11.63,3.05,3.25,12
Center,LOTTERY,0.61,82.52,243.296,87.25,110.5,9.25,10,29.125,33.5,11.62,3.0475,3.24,12.05
Center,LOTTERY,0.62,82.59,243.632,87.25,110.5,9.25,10,29.25,33.5,11.61,3.045,3.23,12.1
Center,LOTTERY,0.63,82.66,243.968,87.25,110.5,9.25,10,29.375,33.5,11.6,3.0425,3.22,12.15
Center,LOTTERY,0.64,82.73,244.304,87.25,110.5,9.25,10,29.5,33.5,11.59,3.04,3.21,12.2
Center,LOTTERY,0.65,82.75,244.56,87.25,110.5,9.25,10.06,29.5,33.625,11.5725,3.0375,3.21,12.25
Center,LOTTERY,0.66,82.75,244.784,87.25,110.5,9.25,10.144,29.5,33.75,11.555,3.035,3.21,12.3
Center,LOTTERY,0.67,82.75,245.008,87.25,110.5,9.25,10.228,29.5,33.875,11.5375,3.0325,3.21,12.35
Center,LOTTERY,0.68,82.752,245.24,87.252,110.52,9.25,10.3,29.5,34,11.52,3.03,3.21,12.4
Center,LOTTERY,0.69,82.766,245.52,87.266,110.66,9.25,10.3,29.625,34.375,11.51,3.0225,3.2075,12.45
Center,LOTTERY,0.7,82.78,245.8,87.28,110.8,9.25,10.3,29.75,34.75,11.5,3.015,3.205,12.5
Center,LOTTERY,0.71,82.794,246.08,87.294,110.94,9.25,10.3,29.875,35.125,11.49,3.0075,3.2025,12.55
Center,LOTTERY,0.72,82.832,246.552,87.38,111,9.25,10.3,30,35.5,11.48,3,3.2,12.6
Center,LOTTERY,0.73,82.888,247.168,87.52,111,9.25,10.3,30.125,35.625,11.475,3,3.1825,12.65
Center,LOTTERY,0.74,82.944,247.784,87.66,111,9.25,10.3,30.25,35.75,11.47,3,3.165,12.7
Center,LOTTERY,0.75,83,248.4,87.8,111,9.25,10.3,30.375,35.875,11.465,3,3.1475,12.75
Center,LOTTERY,0.76,83.07,248.904,87.856,111.28,9.25,10.3,30.5,36,11.46,3,3.13,12.8
Center,LOTTERY,0.77,83.14,249.408,87.912,111.56,9.25,10.3,30.5,36,11.45,3,3.12,12.85
Center,LOTTERY,0.78,83.21,249.912,87.968,111.84,9.25,10.3,30.5,36,11.44,3,3.11,12.9
Center,LOTTERY,0.79,83.256,250.44,88,112,9.25,10.324,30.5,36,11.43,3,3.1,12.95
Center,LOTTERY,0.8,83.27,251,88,112,9.25,10.38,30.5,36,11.42,3,3.09,13
Center,LOTTERY,0.81,83.284,251.56,88,112,9.25,10.436,31.125,36.125,11.39,3,3.08,13
Center,LOTTERY,0.82,83.298,252.12,88,112,9.25,10.492,31.75,36.25,11.36,3,3.07,13
Center,LOTTERY,0.83,83.468,252.728,88.18,112,9.25,10.5,32.375,36.375,11.33,3,3.06,13
Center,LOTTERY,0.84,83.664,253.344,88.39,112,9.25,10.5,33,36.5,11.3,3,3.05,13
Center,LOTTERY,0.85,83.86,253.96,88.6,112,9.25,10.5,33,36.625,11.3,3,3.0375,13
Center,LOTTERY,0.86,84.02,254.608,88.79,112.04,9.25,10.5,33,36.75,11.3,3,3.025,13
Center,LOTTERY,0.87,84.09,255.336,88.93,112.18,9.25,10.5,33,36.875,11.3,3,3.0125,13
Center,LOTTERY,0.88,84.16,256.064,89.07,112.32,9.25,10.5,33,37,11.3,3,3,13
Center,LOTTERY,0.89,84.23,256.792,89.21,112.46,9.25,10.5,33.5,37.625,11.2975,3,3,13
Center,LOTTERY,0.9,84.35,257,89.4,112.6,9.3,10.56,34,38.25,11.295,3,3,13
Center,LOTTERY,0.91,84.49,257,89.61,112.74,9.37,10.644,34.5,38.875,11.2925,3,3,13
Center,LOTTERY,0.92,84.63,257,89.82,112.88,9.44,10.728,35,39.5,11.29,3,3,13
Center,LOTTERY,0.93,84.76,257.232,90.01,113.06,9.5,10.8,35,39.625,11.28,2.985,3,13
Center,LOTTERY,0.94,84.83,258.856,90.08,113.48,9.5,10.8,35,39.75,11.27,2.97,3,13
Center,LOTTERY,0.95,84.9,260.48,90.15,113.9,9.5,10.8,35,39.875,11.26,2.955,3,13
